"carrer de mallorca1 23"	"plaza de la volateria 3"
"via del pontiere 26"	"via del pontiere 26"
"jl. a. yani/ kesawan no. 97/99"	"jalan a.yani/kesawan no 97/99 medan"
"820 northern blvd."	"811 northern blvd"
"2611 old red trail nw"	"2611 old red trail northwest"
"15 michigan street airport industria"	"arthurs road"
"21 moepel avenue"	"arthurs road"
"obispo orueta 2"	"obispo orueta 2"
"4 sapru marg"	"40a vs marg"
"73 rue taitbout"	"13 rue geoffroy marie"
"14 rue geoffroy marie"	"13 rue geoffroy marie"
"6700 highway 63"	"7881 highway 45 alt. n."
"6700 highway 63"	"6824 highway 613"
"6700 highway 63"	"4419 denny ave"
"rua do pau da bandeira 4"	"caminho joao ernesto pereira 10"
"caminho joao ernesto pereira 10"	"caminho joao ernesto pereira 10"
"rua do pau da bandeira 4"	"avenida do infante 25"
"rua de santa catarina 882"	"avenida do infante 25"
"azinhaga da casa banca"	"avenida do infante 25"
"rue dhavre"	"rue de chanzy"
"parc des moulins"	"rue de chanzy"
"rue de chanzy"	"rue de chanzy"
"zl beaucouze ctr. dactivites lhoirie"	"rue de chanzy"
"angle boulevard de valmy"	"rue de chanzy"
"burg 10"	"da vincilaan 4"
"square georges marlow 34"	"da vincilaan 4"
"420 badenerstrasse"	"avenue louis casai 75 77"
"19 doveton st north"	"1317 mair street"
"paseo sancha 22"	"paseo de sancha 35"
"real 94 96"	"paseo de sancha 35"
"calle mejico"	"paseo de sancha 35"
"paseo sancha 22"	"vitoria 319 cruce c/ sextil km 245"
"162 p.c. hooftstraat"	"lagendijk 7"
"badweg 671"	"lagendijk 7"
"1012 wesley dr"	"6325 carlisle pike"
"370 east main street unit 100"	"101 erwin rd"
"370 east main street unit 100"	"4035 sycamore dairy rd"
"728 millsap rd."	"4035 sycamore dairy rd"
"north ari atoll"	"north ari atoll"
"augustusstrasse 6"	"rheinstrasse 68"
"augustusstrasse 6"	"wanheimer strasse 78"
"lintorfer weg 69"	"wanheimer strasse 78"
"avenida atlantica 1702"	"24 r. gen. polidoro"
"24 r. gen. polidoro"	"24 r. gen. polidoro"
"visconde de piraja 141"	"24 r. gen. polidoro"
"avenida atlantica 1702"	"rua xavier da silveira 29"
"rua raul pompeia 186 apto 202"	"rua xavier da silveira 29"
"avenida atlantica 1702"	"av. lucio costa 9600"
"avenida atlantica 1702"	"avenida atlantica 1702 copacabana"
"415 n monroe st"	"415 n monroe st"
"4220 4th ave"	"4220 4th ave"
"40662 highway 41"	"7432 henness ridge road"
"44606 silver spur trail"	"7432 henness ridge road"
"1525 east maple road"	"32400 stephenson highway"
"54648 inverness way"	"32400 stephenson highway"
"2375 i 10 south"	"32400 stephenson highway"
"15720 woods edge road"	"32400 stephenson highway"
"1525 east maple road"	"987 e ash st"
"987 e ash st"	"987 e ash st"
"360 best western ct/360 mc neil street"	"1721 broadcast st."
"triangeln 2"	"norra strandgatan 9 11"
"40 dalton st"	"9 cortes st"
"9 cortes st"	"9 cortes st"
"40 dalton st"	"2437 n. main st."
"17 olivia court"	"2437 n. main st."
"1203 pyramid peak"	"2437 n. main st."
"255 hide away drive"	"2437 n. main st."
"sp 41 noha"	"sp 41 noha"
"av. hidalgo 716"	"av. julian grajales 2"
"str. stejerisului 11 km 2"	"strada calarasilor 1"
"alpmatten 1f"	"alpmatten 1e"
"alpmatten 1e"	"alpmatten 1e"
"opposite nasfat bus stop"	"opposite nasfat bus stop"
"1683 calca road"	"35 39 ferry street"
"no.38a jalan walter granier"	"no.38a jalan walter granier"
"4/7 moo 4 bophut"	"4/7 moo 4 bophut"
"surin heights 126/1 moo 3"	"4/7 moo 4 bophut"
"jangadero 635"	"jangadero 635"
"staiyakin 2776"	"jangadero 635"
"67 hadongmodan gil"	"13 buryongsu gil aewol eup"
"4th floorverma niwas"	"chakraval road kamla nagar"
"chakraval road kamla nagar"	"chakraval road kamla nagar"
"c 28pankaj sighvi marg lalkothi"	"chakraval road kamla nagar"
"#40 cunningham cross road"	"#40 cunningham cross road"
"college road"	"college road"
"rua rouxinol 425"	"rua rouxinol 425"
"rua rouxinol 425"	"rua rouxinol 425"
"av. antonio carlos magalhaes 100"	"rua rouxinol 425"
"32/3 m. 5 t. maeram"	"32/3 m. 5 t. maeram"
"6/5 soi samlan road"	"32/3 m. 5 t. maeram"
"40/136 m.5 baan dongudom"	"32/3 m. 5 t. maeram"
"56/7 moo 6 bang por 4"	"32/3 m. 5 t. maeram"
"530 moo 2"	"32/3 m. 5 t. maeram"
"476 moo 1 soi porn sawn"	"32/3 m. 5 t. maeram"
"2 chome 15 14"	"1257 hayashima tsukubo"
"1257 hayashima tsukubo"	"1257 hayashima tsukubo"
"madaraokogen 11492 372"	"1257 hayashima tsukubo"
"27100 perdido beach blvd"	"1201 challenge dr"
"1845 sawyer palm place"	"1201 challenge dr"
"1809 morning star drive"	"1201 challenge dr"
"hohe klinge ."	"hohe klinge ."
"via gianbattista tiepolo 13"	"castello 4510"
"hanki czaki 2"	"3a anny german"
"3a anny german"	"3a anny german"
"landwehrstrasse 28"	"landwehrstrasse 28"
"galgenstrae 5"	"landwehrstrasse 28"
"502 moo 10 pattaya saisong 11"	"502 moo 10 pattaya saisong 11"
"3 bis rue emile zola"	"3 bis rue emile zola"
"1404 sw coast avenue us"	"1404 sw coast avenue us"
"rruga e elbasanit"	"rruga e elbasanit"
"ob njivah 14"	"dobrna 46 50a"
"bitwy warszawskiej 1920r 23 77"	"bitwy warszawskiej 1920r 23 77"
"aleja poludniowa 14 30"	"bitwy warszawskiej 1920r 23 77"
"ulitsa lyulin planina"	"ulitsa lyulin planina"
"piasatsite area 3"	"ulitsa lyulin planina"
