"expo hotel barcelona"	"barcelona airport hotel"
"best western plus hotel de capuleti"	"best western plus hotel de capuleti"
"kama hotel"	"kama hotel"
"best western plus clarks summit scranton"	"comfort inn clarks summit"
"baymont by wyndham mandan bismarck area"	"baymont by wyndham mandan bismarck area"
"hotel verde cape town airport"	"protea hotel by marriott cape town sea point"
"protea park self catering"	"protea hotel by marriott cape town sea point"
"hotel lopez de haro"	"hotel lopez de haro"
"india awadh"	"park awadh"
"hotel touraine opera"	"maxim opera"
"maxim folies"	"maxim opera"
"days inn by wyndham moss point pascagoula"	"days inn by wyndham west point"
"days inn by wyndham moss point pascagoula"	"red roof inn moss point"
"days inn by wyndham moss point pascagoula"	"studio 6 pascagoula ms"
"olissippo lapa palace the leading hotels of the world"	"villas quinta da lapa ii by ana lodges"
"villas quinta da lapa ii by ana lodges"	"villas quinta da lapa ii by ana lodges"
"olissippo lapa palace the leading hotels of the world"	"savoy palace the leading hotels of the world savoy signature"
"signature apartments santa catarina"	"savoy palace the leading hotels of the world savoy signature"
"tui blue gardens adults only savoy signature"	"savoy palace the leading hotels of the world savoy signature"
"ibis lille tourcoing centre"	"premiere classe lille villeneuve dascq stade pierre mauroy"
"kyriad lille est villeneuve dascq"	"premiere classe lille villeneuve dascq stade pierre mauroy"
"premiere classe lille villeneuve dascq stade pierre mauroy"	"premiere classe lille villeneuve dascq stade pierre mauroy"
"premiere classe angers ouest beaucouze"	"premiere classe lille villeneuve dascq stade pierre mauroy"
"hotel du stade lille villeneuve dascq"	"premiere classe lille villeneuve dascq stade pierre mauroy"
"crowne plaza bruges an ihg hotel"	"crowne plaza brussels airport an ihg hotel"
"bb bio brussels"	"crowne plaza brussels airport an ihg hotel"
"crowne plaza zurich an ihg hotel"	"crowne plaza geneva"
"mid city ballarat"	"lake inn ballarat"
"soho boutique vegas"	"hotel soho los naranjos"
"hotel rural los anades"	"hotel soho los naranjos"
"apartamento los naranjos"	"hotel soho los naranjos"
"soho boutique vegas"	"las vegas"
"hotel city garden amsterdam"	"nice apartment with dishwasher near amsterdam"
"modern apartment with a dishwasher on isle schiermonnikoog"	"nice apartment with dishwasher near amsterdam"
"comfort inn mechanicsburg harrisburg south"	"holiday inn express harrisburg sw mechanicsburg an ihg hotel"
"hampton inn suites chapel hill carrborodowntown nc"	"residence inn by marriott chapel hill"
"hampton inn suites chapel hill carrborodowntown nc"	"home2 suites by hilton fayetteville nc"
"sleep inn fayetteville north"	"home2 suites by hilton fayetteville nc"
"nika island resort spa"	"nika island resort"
"novotel mainz"	"hilton mainz"
"novotel mainz"	"novotel duesseldorf airport"
"ibis budget duesseldorf airport"	"novotel duesseldorf airport"
"copacabana palace a belmond hotel rio de janeiro"	"omar do rio gp404"
"omar do rio gp404"	"omar do rio gp404"
"omar do rio mini"	"omar do rio gp404"
"copacabana palace a belmond hotel rio de janeiro"	"linerio copacabana luxury residence"
"linerio praia de copacabana 337"	"linerio copacabana luxury residence"
"copacabana palace a belmond hotel rio de janeiro"	"grand hyatt rio de janeiro"
